2024-05-03 11:00:14,004 - [WARNING] - aiogram.dispatcher - (dispatcher.py)._signal_stop_polling(455) - Received SIGINT signal
2024-05-03 11:00:14,034 - [INFO] - aiogram.dispatcher - (dispatcher.py)._polling(359) - Polling stopped for bot @send_my_logs_bot id=7109162915 - 'send_logs'
2024-05-03 11:00:14,035 - [INFO] - aiogram.dispatcher - (dispatcher.py).start_polling(554) - Polling stopped
2024-05-03 11:01:04,550 - [INFO] - apscheduler.scheduler - (base.py).start(181) - Scheduler started
2024-05-03 11:01:08,436 - [INFO] - aiogram.dispatcher - (dispatcher.py).start_polling(527) - Start polling
2024-05-03 11:01:08,586 - [INFO] - aiogram.dispatcher - (dispatcher.py)._polling(341) - Run polling for bot @send_my_logs_bot id=7109162915 - 'send_logs'
2024-05-03 11:49:08,932 - [ERROR] - aiogram.dispatcher - (dispatcher.py)._listen_updates(219) - Failed to fetch updates - TelegramNetworkError: HTTP Client says - Request timeout error
2024-05-03 12:51:44,626 - [ERROR] - aiogram.dispatcher - (dispatcher.py)._listen_updates(219) - Failed to fetch updates - TelegramNetworkError: HTTP Client says - ClientConnectorError: Cannot connect to host api.telegram.org:443 ssl:default [nodename nor servname provided, or not known]
2024-05-03 12:51:44,626 - [WARNING] - aiogram.dispatcher - (dispatcher.py)._listen_updates(221) - Sleep for 4.994911 seconds and try again... (tryings = 43, bot id = 7109162915)
2024-05-03 12:55:21,706 - [ERROR] - aiogram.dispatcher - (dispatcher.py)._listen_updates(219) - Failed to fetch updates - TelegramNetworkError: HTTP Client says - ClientConnectorError: Cannot connect to host api.telegram.org:443 ssl:default [nodename nor servname provided, or not known]
2024-05-03 12:55:21,707 - [WARNING] - aiogram.dispatcher - (dispatcher.py)._listen_updates(221) - Sleep for 5.098940 seconds and try again... (tryings = 44, bot id = 7109162915)
2024-05-03 12:56:25,653 - [ERROR] - aiogram.dispatcher - (dispatcher.py)._listen_updates(219) - Failed to fetch updates - TelegramNetworkError: HTTP Client says - ClientConnectorError: Cannot connect to host api.telegram.org:443 ssl:default [nodename nor servname provided, or not known]
2024-05-03 12:56:25,654 - [WARNING] - aiogram.dispatcher - (dispatcher.py)._listen_updates(221) - Sleep for 4.958681 seconds and try again... (tryings = 45, bot id = 7109162915)
2024-05-03 12:58:00,290 - [ERROR] - aiogram.dispatcher - (dispatcher.py)._listen_updates(219) - Failed to fetch updates - TelegramNetworkError: HTTP Client says - ClientConnectorError: Cannot connect to host api.telegram.org:443 ssl:default [nodename nor servname provided, or not known]
2024-05-03 12:58:00,290 - [WARNING] - aiogram.dispatcher - (dispatcher.py)._listen_updates(221) - Sleep for 5.098748 seconds and try again... (tryings = 46, bot id = 7109162915)
2024-05-03 12:58:40,399 - [ERROR] - aiogram.dispatcher - (dispatcher.py)._listen_updates(219) - Failed to fetch updates - TelegramNetworkError: HTTP Client says - ClientConnectorError: Cannot connect to host api.telegram.org:443 ssl:default [nodename nor servname provided, or not known]
2024-05-03 12:58:40,400 - [WARNING] - aiogram.dispatcher - (dispatcher.py)._listen_updates(221) - Sleep for 5.075187 seconds and try again... (tryings = 47, bot id = 7109162915)
